,L,Vd,Lc,D,Fec,Ffoc,Fdoc
0,0,2,1,0,1.0,1,1
1,0,2,1,0,1.0,1,1
2,0,2,1,0,1.0,1,1
3,0,2,1,0,1.0,1,1
4,0,2,1,0,1.0,1,1
5,0,2,1,0,1.0,1,1
6,2,2,1,1,1.0,1,0
7,2,2,1,1,0.0,1,0
8,0,2,1,0,1.0,1,1
9,0,2,1,0,1.0,1,1
10,0,2,1,0,1.0,1,1
11,0,2,1,0,1.0,1,1
12,0,2,1,0,1.0,1,1
13,1,2,1,2,1.0,0,1
14,1,2,1,2,1.0,0,1
15,1,2,1,2,1.0,0,1
16,0,2,1,0,1.0,1,1
17,0,2,1,0,1.0,1,1
18,0,2,1,0,1.0,1,1
19,0,2,1,0,1.0,1,1
20,1,2,1,2,1.0,0,1
21,1,2,1,2,1.0,0,1
22,1,2,1,2,1.0,1,0
23,2,2,1,1,1.0,1,0
24,2,2,1,1,0.0,1,0
25,2,2,1,1,1.0,1,0
26,2,2,1,1,0.0,1,0
27,1,2,1,2,1.0,0,1
28,0,2,1,0,1.0,1,1
29,0,2,1,0,1.0,1,1
30,0,2,1,0,1.0,1,1
31,0,2,1,0,1.0,1,1
32,2,2,1,1,1.0,1,0
33,1,2,1,2,0.0,1,0
34,1,2,1,2,0.0,1,0
35,1,2,1,2,0.0,1,0
36,0,2,1,0,0.0,1,1
37,0,2,1,0,0.0,1,1
38,0,2,1,0,0.0,1,1
39,0,2,1,0,0.0,1,1
40,0,2,1,0,0.0,1,1
41,0,2,1,0,0.0,1,1
42,0,2,1,0,0.0,1,1
43,0,2,1,0,0.0,1,1
44,0,2,1,0,0.0,1,1
45,0,2,1,0,0.0,1,1
46,0,2,1,0,0.0,1,1
47,0,2,1,0,0.0,1,1
48,0,2,0,1,0.0,1,1
49,1,2,1,2,1.0,0,1
50,1,2,1,2,1.0,0,1
51,1,2,1,2,1.0,0,1
52,1,2,1,2,1.0,0,1
53,2,2,1,1,1.0,1,0
54,1,2,1,2,0.0,1,0
55,1,2,1,2,0.0,1,0
56,1,2,1,2,0.0,1,0
57,2,2,1,1,0.0,0,1
58,2,2,1,1,1.0,1,0
59,2,2,1,1,0.0,0,1
60,1,2,1,2,1.0,0,1
61,1,2,1,2,1.0,0,1
62,0,2,1,0,1.0,1,1
63,0,2,1,0,1.0,1,1
64,0,2,1,0,1.0,1,1
65,0,2,1,0,1.0,1,1
66,0,2,1,0,1.0,1,1
67,2,2,1,1,1.0,1,0
68,0,2,1,0,0.0,1,1
69,1,2,1,2,0.0,1,1
70,0,2,1,0,0.0,1,1
71,0,2,1,0,0.0,1,1
72,0,2,1,0,0.0,1,1
73,0,2,1,0,0.0,1,1
75,2,2,1,1,1.0,1,0
76,0,2,1,0,1.0,1,1
77,0,2,1,0,1.0,1,1
78,0,2,1,0,1.0,1,1
80,1,2,1,2,0.0,1,1
81,1,2,1,2,0.0,1,0
82,1,2,1,2,0.0,1,0
83,1,2,1,2,0.0,1,0
84,1,2,1,2,0.0,1,0
85,1,2,1,2,0.0,1,0
86,1,2,1,2,0.0,1,0
87,1,2,1,2,0.0,1,0
88,1,2,1,2,0.0,1,0
89,1,2,1,2,0.0,1,1
90,1,2,1,2,0.0,1,1
91,0,2,1,0,0.0,1,1
92,0,2,1,0,0.0,1,1
93,0,2,1,0,0.0,1,1
95,0,2,1,0,1.0,1,1
96,2,2,1,1,1.0,1,0
97,0,2,1,0,0.0,1,1
98,1,2,1,2,0.0,1,1
99,0,2,1,0,0.0,1,1
100,0,2,1,0,0.0,1,1
101,0,2,1,0,0.0,1,1
102,0,2,1,0,0.0,1,1
103,0,2,1,0,0.0,1,1
104,0,2,1,0,0.0,1,1
105,0,2,1,0,0.0,1,1
106,0,2,1,0,0.0,1,1
107,0,2,1,0,0.0,1,1
108,0,2,1,0,0.0,1,1
109,0,2,1,0,0.0,1,1
110,2,2,1,1,0.0,0,1
111,0,2,1,0,1.0,1,1
112,1,2,1,2,1.0,0,1
113,1,2,0,2,1.0,0,1
114,1,2,1,2,1.0,0,1
115,1,2,1,2,1.0,0,1
116,1,2,1,2,1.0,0,1
117,0,2,1,0,1.0,1,1
118,0,2,1,0,1.0,1,1
120,1,2,1,2,0.0,1,0
121,1,2,1,2,0.0,1,0
122,1,2,1,2,0.0,1,0
123,1,2,1,2,0.0,1,0
124,1,2,1,2,0.0,1,0
125,1,2,1,2,0.0,1,0
126,1,2,1,2,0.0,1,1
127,1,2,0,2,0.0,1,0
128,1,2,1,2,0.0,1,1
129,1,2,1,2,0.0,1,0
130,2,2,1,1,0.0,0,1
131,2,2,1,1,1.0,1,0
132,2,2,1,1,0.0,1,0
133,2,2,1,1,1.0,1,0
134,2,2,1,1,0.0,0,1
135,2,2,1,1,1.0,1,0
136,2,2,1,1,0.0,0,1
137,2,2,1,1,1.0,1,0
138,2,2,1,1,0.0,0,1
139,1,2,1,2,1.0,0,1
140,1,2,1,2,1.0,0,1
141,1,2,1,2,1.0,0,1
142,2,2,1,1,1.0,1,0
143,2,2,1,1,0.0,0,1
144,1,2,1,2,1.0,0,1
145,1,2,1,2,1.0,0,1
146,1,2,1,2,1.0,0,1
147,1,2,1,2,1.0,0,1
148,1,2,1,2,1.0,1,1
149,0,2,1,0,1.0,1,1
150,0,2,1,0,1.0,1,1
151,0,2,1,0,1.0,1,1
152,2,2,1,1,1.0,1,0
153,2,2,1,1,0.0,0,1
154,1,2,1,2,1.0,0,1
155,1,2,1,2,1.0,0,1
156,1,2,1,2,1.0,0,1
157,0,2,1,0,1.0,1,1
158,0,2,1,0,1.0,1,1
159,0,2,1,0,1.0,1,1
160,0,2,1,0,1.0,1,1
161,0,2,1,0,1.0,1,1
162,1,2,1,2,1.0,0,1
163,1,2,1,2,1.0,0,1
164,1,2,1,2,1.0,0,1
165,0,2,1,0,1.0,1,1
166,0,2,1,0,1.0,1,1
167,0,2,1,0,1.0,1,1
168,0,2,1,0,1.0,1,1
169,0,2,1,0,1.0,1,1
170,0,2,1,0,1.0,1,1
171,1,2,1,2,1.0,0,1
172,1,2,1,2,1.0,1,0
173,2,2,1,1,1.0,1,0
174,1,2,1,2,0.0,1,0
175,1,2,1,2,0.0,1,0
177,2,2,1,1,1.0,1,0
178,1,2,1,2,0.0,1,0
179,1,2,1,2,0.0,1,0
180,1,2,1,2,0.0,1,0
181,1,2,1,2,0.0,1,0
182,1,2,1,2,0.0,1,0
183,1,2,1,2,0.0,1,0
184,0,2,1,0,0.0,1,1
185,0,2,1,0,0.0,1,1
186,0,2,1,0,0.0,1,1
187,0,2,1,0,0.0,1,1
188,0,2,1,0,0.0,1,1
189,0,2,1,0,0.0,1,1
190,0,2,1,0,0.0,1,1
191,0,2,1,0,0.0,1,1
192,0,2,1,0,0.0,1,1
193,1,2,1,2,0.0,1,0
194,1,2,1,2,0.0,1,0
195,1,2,1,2,0.0,1,0
196,0,2,1,0,0.0,1,1
197,2,2,1,1,0.0,0,1
198,2,2,1,1,1.0,1,0
199,1,2,1,2,0.0,1,0
200,1,2,1,2,0.0,1,0
201,1,2,1,2,0.0,1,0
202,1,2,1,2,0.0,1,0
203,1,2,0,2,0.0,1,0
204,1,2,1,2,0.0,1,0
205,1,2,1,2,0.0,1,0
206,1,2,1,2,0.0,1,0
207,1,2,1,2,0.0,1,0
208,1,2,1,2,0.0,1,0
209,1,2,1,2,0.0,1,1
210,0,2,1,0,0.0,1,1
211,0,2,1,0,0.0,1,1
212,2,2,1,1,0.0,0,1
213,1,2,1,2,1.0,0,1
214,1,2,1,2,1.0,0,1
215,1,2,1,2,1.0,0,1
216,1,2,1,2,1.0,0,1
217,1,2,1,2,1.0,0,1
218,2,2,1,1,1.0,1,0
219,1,2,1,2,0.0,1,0
220,1,2,1,2,0.0,1,0
221,1,2,1,2,0.0,1,0
222,2,2,1,1,0.0,0,1
223,2,2,1,1,1.0,1,0
224,1,2,1,2,0.0,1,0
225,1,2,1,2,0.0,1,0
226,1,2,1,2,0.0,1,0
227,1,2,1,2,0.0,1,0
228,1,2,1,2,0.0,1,0
229,1,2,1,2,0.0,1,0
230,1,2,1,2,0.0,1,0
231,1,2,1,2,0.0,1,0
233,1,2,1,2,1.0,0,1
234,2,2,1,1,1.0,1,0
235,1,2,1,2,0.0,1,0
236,1,2,1,2,0.0,1,0
237,1,2,1,2,0.0,1,0
238,1,2,1,2,0.0,1,0
239,1,2,1,2,0.0,1,0
240,1,2,1,2,0.0,1,0
241,1,2,1,2,0.0,1,0
242,1,2,1,2,0.0,1,0
243,1,2,1,2,0.0,1,0
244,1,2,1,2,0.0,1,0
245,1,2,1,2,0.0,1,0
246,1,2,1,2,0.0,1,0
247,1,2,1,2,0.0,1,0
248,1,2,1,2,0.0,1,0
249,1,2,1,2,0.0,1,0
250,1,2,1,2,0.0,1,0
251,1,2,1,2,0.0,1,0
252,1,2,1,2,0.0,1,0
253,1,2,1,2,0.0,1,0
254,1,2,1,2,0.0,1,0
255,2,2,1,1,0.0,0,1
256,2,2,1,1,1.0,1,0
257,2,2,1,1,0.0,0,1
258,1,2,1,2,1.0,1,1
259,1,2,1,2,1.0,1,1
260,1,2,1,2,1.0,1,0
261,1,2,1,2,1.0,1,0
262,0,2,1,0,1.0,1,0
263,2,2,1,1,1.0,1,0
264,0,2,1,0,0.0,1,0
265,0,2,1,0,0.0,1,1
266,0,2,1,0,0.0,1,1
267,0,2,1,0,0.0,1,1
268,0,2,1,0,0.0,1,1
269,1,2,1,2,0.0,1,0
270,1,2,1,2,0.0,1,0
271,1,2,1,2,0.0,1,0
272,1,2,1,2,0.0,1,0
273,1,2,1,2,0.0,1,0
274,1,2,1,2,0.0,1,0
275,0,2,1,0,0.0,1,1
276,0,2,1,0,0.0,1,1
277,0,2,1,0,0.0,1,1
278,0,2,1,0,0.0,1,1
279,0,2,1,0,0.0,1,1
280,0,2,1,0,0.0,1,1
281,1,2,1,2,0.0,1,0
282,1,2,1,2,0.0,1,0
283,1,2,1,2,0.0,1,0
284,1,2,1,2,0.0,1,0
285,1,2,1,2,0.0,1,0
286,1,2,1,2,0.0,1,0
288,0,2,1,0,1.0,1,1
289,0,2,1,0,1.0,1,1
290,0,2,1,0,1.0,1,1
291,0,2,1,0,1.0,1,1
292,0,2,1,0,1.0,1,1
293,2,2,1,1,1.0,1,0
294,2,2,1,1,0.0,0,1
295,2,2,1,1,1.0,1,0
296,2,2,1,1,0.0,0,1
297,1,2,1,2,1.0,0,1
298,1,2,1,2,1.0,0,1
299,1,2,1,2,1.0,0,1
300,1,2,1,2,1.0,0,1
301,1,2,1,2,1.0,0,1
302,1,2,1,2,1.0,0,1
303,2,2,1,1,1.0,1,0
304,1,2,1,2,0.0,1,0
305,1,2,1,2,0.0,1,0
306,1,2,1,2,0.0,1,0
307,1,2,0,2,0.0,1,0
308,1,2,1,2,0.0,1,0
309,1,2,1,2,0.0,1,0
310,2,2,1,1,0.0,0,1
311,1,2,1,2,1.0,0,1
312,1,2,1,2,1.0,0,1
313,1,2,1,2,1.0,0,1
314,0,2,1,0,1.0,0,1
315,1,2,1,2,1.0,1,1
316,1,2,1,2,1.0,1,1
317,1,2,1,2,1.0,1,1
318,0,2,1,0,1.0,1,1
319,0,2,1,0,1.0,1,1
320,2,2,1,1,1.0,1,0
321,2,2,1,1,0.0,0,1
322,1,2,1,2,1.0,0,1
323,1,2,1,2,1.0,0,1
324,1,2,1,2,1.0,1,0
325,1,2,1,2,1.0,1,0
326,1,2,1,2,1.0,1,1
327,1,2,1,2,1.0,1,1
328,0,2,1,0,1.0,1,1
329,0,2,1,0,1.0,1,1
330,1,2,1,2,1.0,0,1
331,1,2,1,2,1.0,0,1
332,1,2,1,2,1.0,0,1
333,1,2,1,2,1.0,0,1
334,1,2,1,2,1.0,0,1
335,1,2,0,2,1.0,0,1
336,1,2,1,2,1.0,0,1
337,1,2,1,2,1.0,0,1
338,1,2,1,2,1.0,0,1
339,2,2,1,1,1.0,1,0
340,0,2,1,0,0.0,1,1
341,0,2,1,0,0.0,1,1
342,0,2,1,0,0.0,1,1
343,2,2,1,1,0.0,0,1
344,1,2,1,2,1.0,0,1
345,0,2,1,0,1.0,1,1
346,0,2,1,0,1.0,1,1
347,0,2,1,0,1.0,1,1
348,2,2,1,1,1.0,1,0
349,1,2,1,2,0.0,1,0
350,1,2,1,2,0.0,1,0
351,1,2,1,2,0.0,1,0
352,1,2,1,2,0.0,0,1
353,2,2,1,1,0.0,0,1
354,1,2,1,2,1.0,1,0
355,0,2,1,0,1.0,1,1
356,0,2,1,0,1.0,1,1
357,0,2,1,0,1.0,1,1
358,0,2,1,0,1.0,1,0
359,0,2,1,0,1.0,1,1
360,2,2,1,1,1.0,1,0
